Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs
SPEA-II_PC_190kW,205,0.509978,0.060132,0.138955,0.012620,41,41,0,7090
SPEA-II_PC_190kW,206,0.498108,0.077386,0.144678,0.020544,33,33,0,7219
SPEA-II_PC_190kW,207,0.499800,0.094930,0.145513,0.007969,43,43,0,7176
SPEA-II_PC_190kW,208,0.514019,0.055632,0.127006,0.017726,46,46,0,7247
SPEA-II_PC_190kW,209,0.496506,0.064253,0.126483,0.016121,33,33,0,7264
SPEA-II_PC_190kW,MEAN,0.511988,0.068405,0.134063,0.012592,42,42,0,7198
SPEA-II_PC_190kW,STDDEV,0.012479,0.013624,0.007923,0.004251,,,,
SPEA-II_PC_120kW,200,0.317142,0.283779,0.351994,0.037222,11,11,0,6708
SPEA-II_PC_120kW,201,0.329005,0.250291,0.368708,0.048278,14,14,0,6694
SPEA-II_PC_120kW,202,0.293598,0.321386,0.389299,0.035790,13,13,0,6681
SPEA-II_PC_120kW,203,0.338459,0.210950,0.334437,0.011480,15,15,0,6750
SPEA-II_PC_120kW,204,0.351344,0.271967,0.339281,0.018936,23,23,0,6754
SPEA-II_PC_120kW,205,0.337331,0.251889,0.359427,0.044822,14,14,0,6652
SPEA-II_PC_120kW,206,0.316782,0.270556,0.368710,0.029085,16,16,0,6610
SPEA-II_PC_120kW,207,0.341346,0.227823,0.328353,0.017276,16,16,0,6686
SPEA-II_PC_120kW,208,0.324944,0.260142,0.366367,0.024390,12,12,0,6694
SPEA-II_PC_120kW,209,0.343082,0.230790,0.328393,0.019348,14,14,0,6693
SPEA-II_PC_120kW,MEAN,0.329303,0.257957,0.353497,0.028663,15,15,0,6692
SPEA-II_PC_120kW,STDDEV,0.016024,0.030002,0.019431,0.011810,,,,
AMOSA_PC_190kW,200,0.366834,0.075515,0.183898,0.012249,23,23,0,8393
AMOSA_PC_190kW,201,0.376891,0.073674,0.184866,0.006312,32,32,0,8351
AMOSA_PC_190kW,202,0.330166,0.123122,0.205825,0.008971,31,31,0,8431
AMOSA_PC_190kW,203,0.380616,0.092678,0.180026,0.008545,28,28,0,8453
AMOSA_PC_190kW,204,0.366225,0.109857,0.184429,0.014050,26,26,0,8450
AMOSA_PC_190kW,205,0.395271,0.085418,0.164084,0.008553,37,37,0,8483
AMOSA_PC_190kW,206,0.384841,0.064942,0.161513,0.009832,33,33,0,8418
AMOSA_PC_190kW,207,0.371921,0.073364,0.174997,0.009457,27,27,0,8393
