Scenario,ScenarioName,Algorithm,CapWatts,NumSeeds,MeanFeasibilityRate,StdFeasibilityRate,MinFeasibilityRate,MaxFeasibilityRate,TotalSolutionsAcrossSeeds,TotalFeasibleAcrossSeeds
2,GPU_Stress,GA_Energy_Dominance,190000.0,10,0.7783,0.0549,0.7097,0.8833,604,469
2,GPU_Stress,GA_Energy_Dominance,120000.0,10,0.3398,0.0597,0.2542,0.4355,604,206
2,GPU_Stress,SA_WaitingTime_Dominance,220000.0,10,0.0000,0.0000,0.0000,0.0000,394,0
2,GPU_Stress,SA_WaitingTime_Dominance,190000.0,10,0.0000,0.0000,0.0000,0.0000,394,0
2,GPU_Stress,SA_WaitingTime_Dominance,120000.0,10,0.0000,0.0000,0.0000,0.0000,394,0
2,GPU_Stress,SA_Energy_Dominance,220000.0,10,0.9905,0.0301,0.9048,1.0000,182,180
2,GPU_Stress,SA_Energy_Dominance,190000.0,10,0.4636,0.1274,0.2917,0.6667,182,80
2,GPU_Stress,SA_Energy_Dominance,120000.0,10,0.4137,0.1296,0.2759,0.6154,182,68
2,GPU_Stress,NSGA-II,220000.0,10,0.5428,0.0586,0.4333,0.6338,617,335
2,GPU_Stress,NSGA-II,190000.0,10,0.1821,0.0564,0.1000,0.2549,617,112
2,GPU_Stress,NSGA-II,120000.0,10,0.0000,0.0000,0.0000,0.0000,617,0
2,GPU_Stress,SPEA-II,220000.0,10,0.4987,0.0611,0.4127,0.5915,630,315
2,GPU_Stress,SPEA-II,190000.0,10,0.1609,0.0680,0.0667,0.3099,630,103
2,GPU_Stress,SPEA-II,120000.0,10,0.0000,0.0000,0.0000,0.0000,630,0
2,GPU_Stress,AMOSA,220000.0,10,0.2277,0.1369,0.0333,0.4194,317,73
2,GPU_Stress,AMOSA,190000.0,10,0.0122,0.0207,0.0000,0.0541,317,4
2,GPU_Stress,AMOSA,120000.0,10,0.0000,0.0000,0.0000,0.0000,317,0
2,GPU_Stress,NSGA-II_PC_190kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,376,376
2,GPU_Stress,NSGA-II_PC_190kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,376,376
2,GPU_Stress,NSGA-II_PC_190kW,120000.0,10,0.0000,0.0000,0.0000,0.0000,376,0
2,GPU_Stress,NSGA-II_PC_120kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,185,185
