Scenario,ScenarioName,Algorithm,Seed,CapWatts,TotalSolutions,FeasibleSolutions,FeasibilityRate,PeakPowerMax
1,Balanced,SPEA-II,203,220000.0,53,53,1.0000,215027.988
1,Balanced,SPEA-II,203,190000.0,53,26,0.4906,215027.988
1,Balanced,SPEA-II,203,120000.0,53,0,0.0000,215027.988
1,Balanced,SPEA-II,204,220000.0,55,54,0.9818,229468.763
1,Balanced,SPEA-II,204,190000.0,55,28,0.5091,229468.763
1,Balanced,SPEA-II,204,120000.0,55,0,0.0000,229468.763
1,Balanced,SPEA-II,205,220000.0,78,74,0.9487,222755.988
1,Balanced,SPEA-II,205,190000.0,78,33,0.4231,222755.988
1,Balanced,SPEA-II,205,120000.0,78,0,0.0000,222755.988
1,Balanced,SPEA-II,206,220000.0,55,54,0.9818,228165.840
1,Balanced,SPEA-II,206,190000.0,55,28,0.5091,228165.840
1,Balanced,SPEA-II,206,120000.0,55,0,0.0000,228165.840
1,Balanced,SPEA-II,207,220000.0,55,53,0.9636,224660.850
1,Balanced,SPEA-II,207,190000.0,55,25,0.4545,224660.850
1,Balanced,SPEA-II,207,120000.0,55,0,0.0000,224660.850
1,Balanced,SPEA-II,208,220000.0,51,47,0.9216,231437.988
1,Balanced,SPEA-II,208,190000.0,51,21,0.4118,231437.988
1,Balanced,SPEA-II,208,120000.0,51,0,0.0000,231437.988
1,Balanced,SPEA-II,209,220000.0,55,55,1.0000,219468.136
1,Balanced,SPEA-II,209,190000.0,55,20,0.3636,219468.136
1,Balanced,SPEA-II,209,120000.0,55,0,0.0000,219468.136
1,Balanced,AMOSA,200,220000.0,26,24,0.9231,234500.794
1,Balanced,AMOSA,200,190000.0,26,0,0.0000,234500.794
1,Balanced,AMOSA,200,120000.0,26,0,0.0000,234500.794
1,Balanced,AMOSA,201,220000.0,17,17,1.0000,212624.804
1,Balanced,AMOSA,201,190000.0,17,2,0.1176,212624.804
1,Balanced,AMOSA,201,120000.0,17,0,0.0000,212624.804
1,Balanced,AMOSA,202,220000.0,19,19,1.0000,213789.513
1,Balanced,AMOSA,202,190000.0,19,1,0.0526,213789.513
1,Balanced,AMOSA,202,120000.0,19,0,0.0000,213789.513
1,Balanced,AMOSA,203,220000.0,17,14,0.8235,234046.156
1,Balanced,AMOSA,203,190000.0,17,0,0.0000,234046.156
1,Balanced,AMOSA,203,120000.0,17,0,0.0000,234046.156
1,Balanced,AMOSA,204,220000.0,26,20,0.7692,226125.523
1,Balanced,AMOSA,204,190000.0,26,1,0.0385,226125.523
1,Balanced,AMOSA,204,120000.0,26,0,0.0000,226125.523
1,Balanced,AMOSA,205,220000.0,24,24,1.0000,215718.916
1,Balanced,AMOSA,205,190000.0,24,0,0.0000,215718.916
1,Balanced,AMOSA,205,120000.0,24,0,0.0000,215718.916
1,Balanced,AMOSA,206,220000.0,23,22,0.9565,221973.595
1,Balanced,AMOSA,206,190000.0,23,2,0.0870,221973.595
1,Balanced,AMOSA,206,120000.0,23,0,0.0000,221973.595
1,Balanced,AMOSA,207,220000.0,17,17,1.0000,211852.330
1,Balanced,AMOSA,207,190000.0,17,0,0.0000,211852.330
1,Balanced,AMOSA,207,120000.0,17,0,0.0000,211852.330
1,Balanced,AMOSA,208,220000.0,17,15,0.8824,221260.738
1,Balanced,AMOSA,208,190000.0,17,0,0.0000,221260.738
1,Balanced,AMOSA,208,120000.0,17,0,0.0000,221260.738
1,Balanced,AMOSA,209,220000.0,22,22,1.0000,217912.677
1,Balanced,AMOSA,209,190000.0,22,2,0.0909,217912.677
1,Balanced,AMOSA,209,120000.0,22,0,0.0000,217912.677
1,Balanced,NSGA-II_PC_190kW,200,220000.0,40,40,1.0000,189389.258
1,Balanced,NSGA-II_PC_190kW,200,190000.0,40,40,1.0000,189389.258
1,Balanced,NSGA-II_PC_190kW,200,120000.0,40,0,0.0000,189389.258
1,Balanced,NSGA-II_PC_190kW,201,220000.0,52,52,1.0000,185311.615
1,Balanced,NSGA-II_PC_190kW,201,190000.0,52,52,1.0000,185311.615
1,Balanced,NSGA-II_PC_190kW,201,120000.0,52,4,0.0769,185311.615
1,Balanced,NSGA-II_PC_190kW,202,220000.0,58,58,1.0000,189801.324
1,Balanced,NSGA-II_PC_190kW,202,190000.0,58,58,1.0000,189801.324
1,Balanced,NSGA-II_PC_190kW,202,120000.0,58,0,0.0000,189801.324
1,Balanced,NSGA-II_PC_190kW,203,220000.0,47,47,1.0000,189813.651
1,Balanced,NSGA-II_PC_190kW,203,190000.0,47,47,1.0000,189813.651
1,Balanced,NSGA-II_PC_190kW,203,120000.0,47,0,0.0000,189813.651
1,Balanced,NSGA-II_PC_190kW,204,220000.0,37,37,1.0000,183855.916
1,Balanced,NSGA-II_PC_190kW,204,190000.0,37,37,1.0000,183855.916
1,Balanced,NSGA-II_PC_190kW,204,120000.0,37,1,0.0270,183855.916
1,Balanced,NSGA-II_PC_190kW,205,220000.0,50,50,1.0000,189890.156
1,Balanced,NSGA-II_PC_190kW,205,190000.0,50,50,1.0000,189890.156
