CapTier,CapWatts,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed,ScoredSeeds
PC90,15114.454,GA_Energy_Dominance,STDDEV,0.034603,0.030359,0.021776,0.006462,,,,,0.031270,
PC90,15114.454,SA_WaitingTime_Dominance,200,0.290492,0.021373,0.370375,0.059936,24,24,0,13433,0.358068,
PC90,15114.454,SA_WaitingTime_Dominance,201,0.287510,0.042384,0.373481,0.004409,18,19,3,13565,0.356500,
PC90,15114.454,SA_WaitingTime_Dominance,202,0.214015,0.036672,0.419759,0.002116,11,11,8,13189,0.288544,
PC90,15114.454,SA_WaitingTime_Dominance,203,0.290016,0.038587,0.371353,0.041508,18,18,0,13225,0.357883,
PC90,15114.454,SA_WaitingTime_Dominance,204,0.289667,0.017247,0.371191,0.001358,14,14,0,13331,0.358491,
PC90,15114.454,SA_WaitingTime_Dominance,205,0.288154,0.023504,0.373067,0.071442,11,11,1,14313,0.356697,
PC90,15114.454,SA_WaitingTime_Dominance,206,0.291161,0.016217,0.370320,0.136003,6,6,0,13640,0.359299,
PC90,15114.454,SA_WaitingTime_Dominance,207,0.291485,0.021877,0.368720,0.057098,17,17,0,13648,0.359274,
PC90,15114.454,SA_WaitingTime_Dominance,208,0.289857,0.020154,0.371150,0.003865,14,14,0,13326,0.358457,
PC90,15114.454,SA_WaitingTime_Dominance,209,0.289753,0.014807,0.370988,0.002709,14,14,3,13582,0.358697,
PC90,15114.454,SA_WaitingTime_Dominance,MEAN,0.282211,0.025282,0.376040,0.038044,15,15,15,13525,0.351191,10
PC90,15114.454,SA_WaitingTime_Dominance,STDDEV,0.022761,0.009550,0.014629,0.042131,,,,,0.020901,
PC90,15114.454,SA_Energy_Dominance,200,0.512824,0.217835,0.220807,0.004224,57,57,0,12657,0.575815,
PC90,15114.454,SA_Energy_Dominance,201,0.518475,0.222814,0.219434,0.004253,40,40,0,12517,0.583929,
PC90,15114.454,SA_Energy_Dominance,202,0.530690,0.222782,0.222428,0.009589,40,41,2,12371,0.594370,
PC90,15114.454,SA_Energy_Dominance,203,0.475301,0.255791,0.224505,0.005128,45,45,0,12279,0.547210,
PC90,15114.454,SA_Energy_Dominance,204,0.512954,0.237071,0.216591,0.004091,60,61,5,12595,0.590225,
PC90,15114.454,SA_Energy_Dominance,205,0.521996,0.202173,0.212622,0.007881,62,63,0,12493,0.581730,
PC90,15114.454,SA_Energy_Dominance,206,0.472992,0.261834,0.224029,0.009545,41,42,0,12631,0.547399,
PC90,15114.454,SA_Energy_Dominance,207,0.460478,0.225060,0.222666,0.005015,34,34,0,12174,0.539705,
PC90,15114.454,SA_Energy_Dominance,208,0.501242,0.222824,0.222278,0.006664,60,62,0,12434,0.561625,
PC90,15114.454,SA_Energy_Dominance,209,0.488214,0.259653,0.221675,0.007260,37,37,0,12561,0.565887,
PC90,15114.454,SA_Energy_Dominance,MEAN,0.499517,0.232784,0.220703,0.006365,48,48,7,12471,0.568789,10
PC90,15114.454,SA_Energy_Dominance,STDDEV,0.022669,0.019059,0.003458,0.002031,,,,,0.018408,
PC90,15114.454,NSGA-II,200,0.576790,0.030835,0.193973,0.003354,57,57,0,19075,0.617951,
PC90,15114.454,NSGA-II,201,0.560023,0.038542,0.174632,0.007885,49,49,0,18940,0.602232,
PC90,15114.454,NSGA-II,202,0.510717,0.020300,0.254325,0.003502,37,37,0,18847,0.555280,
PC90,15114.454,NSGA-II,203,0.473370,0.004750,0.287494,0.004012,25,25,13,19051,0.520505,
PC90,15114.454,NSGA-II,204,0.584002,0.041338,0.172279,0.006942,50,50,0,19301,0.625406,
PC90,15114.454,NSGA-II,205,0.564981,0.021819,0.198321,0.007231,34,34,0,19315,0.606237,
PC90,15114.454,NSGA-II,206,0.597658,0.003199,0.206408,0.004400,44,44,31,19366,0.636303,
PC90,15114.454,NSGA-II,207,0.460340,0.014952,0.287186,0.002819,36,36,0,19035,0.508693,
PC90,15114.454,NSGA-II,208,0.529052,0.044772,0.215627,0.004384,39,39,0,19234,0.573070,
PC90,15114.454,NSGA-II,209,0.488370,0.024036,0.262698,0.002949,37,37,0,19179,0.534807,
PC90,15114.454,NSGA-II,MEAN,0.534530,0.024454,0.225294,0.004748,41,41,44,19134,0.578048,10
PC90,15114.454,NSGA-II,STDDEV,0.046656,0.013754,0.041806,0.001791,,,,,0.043752,
PC90,15114.454,SPEA-II,200,0.510004,0.005701,0.271485,0.003081,32,32,9,20070,0.554513,
PC90,15114.454,SPEA-II,201,0.506120,0.032195,0.250583,0.002676,47,47,0,20713,0.551149,
PC90,15114.454,SPEA-II,202,0.479242,0.008043,0.283914,0.001783,37,37,1,19574,0.525941,
PC90,15114.454,SPEA-II,203,0.497808,0.022649,0.261519,0.002314,45,45,0,19900,0.543642,
PC90,15114.454,SPEA-II,204,0.501325,0.021410,0.261723,0.002124,42,42,0,20039,0.546655,
PC90,15114.454,SPEA-II,205,0.553903,0.037726,0.201410,0.004218,45,45,0,21052,0.596534,
PC90,15114.454,SPEA-II,206,0.442915,0.012097,0.304178,0.001806,39,39,2,20468,0.492739,
PC90,15114.454,SPEA-II,207,0.457531,0.004072,0.304667,0.003479,30,30,10,20164,0.506042,
PC90,15114.454,SPEA-II,208,0.536720,0.033451,0.229339,0.002673,53,53,0,20162,0.580315,
PC90,15114.454,SPEA-II,209,0.539543,0.009560,0.230059,0.003900,43,43,9,20914,0.582232,
PC90,15114.454,SPEA-II,MEAN,0.502511,0.018690,0.259888,0.002805,41,41,31,20305,0.547976,10
PC90,15114.454,SPEA-II,STDDEV,0.033752,0.011867,0.031645,0.000807,,,,,0.031537,
PC90,15114.454,AMOSA,200,0.289293,0.129163,0.374296,0.003313,14,14,0,21965,0.349990,
PC90,15114.454,AMOSA,201,0.325175,0.082898,0.348286,0.014040,13,13,0,21524,0.382904,
PC90,15114.454,AMOSA,202,0.339591,0.098571,0.333049,0.008229,18,18,0,21513,0.396169,
PC90,15114.454,AMOSA,203,0.296392,0.121503,0.372277,0.006918,16,16,0,21285,0.356634,
PC90,15114.454,AMOSA,204,0.330725,0.101473,0.336631,0.007076,17,17,0,21134,0.388598,
PC90,15114.454,AMOSA,205,0.309698,0.085128,0.362474,0.005929,15,15,0,21755,0.368912,
PC90,15114.454,AMOSA,206,0.336803,0.069140,0.346567,0.008529,10,10,0,21435,0.393915,
PC90,15114.454,AMOSA,207,0.313425,0.105438,0.346857,0.010384,15,15,0,21574,0.372395,
