Algorithm,Seed,WaitingTime,Energy,PeakPowerWatts,IsUniversalPareto
GA_WaitingTime_Dominance,207,4.444000,0.089654354,16608.441,false
GA_WaitingTime_Dominance,207,4.538000,0.088893535,16466.532,false
GA_WaitingTime_Dominance,208,5.338000,0.085856375,16086.209,false
GA_WaitingTime_Dominance,208,5.738000,0.085678497,16507.668,false
GA_WaitingTime_Dominance,208,5.318000,0.086619004,16577.027,false
GA_WaitingTime_Dominance,208,5.082000,0.087218252,16102.059,false
GA_WaitingTime_Dominance,208,5.222000,0.086713421,15977.217,false
GA_WaitingTime_Dominance,208,4.970000,0.087329171,16138.429,false
GA_WaitingTime_Dominance,208,4.854000,0.087755463,16804.597,false
GA_WaitingTime_Dominance,208,4.850000,0.087872907,17098.194,false
GA_WaitingTime_Dominance,208,4.862000,0.087656067,15498.404,false
GA_WaitingTime_Dominance,208,4.666000,0.088027789,16261.078,false
GA_WaitingTime_Dominance,208,4.698000,0.088015756,15527.585,false
GA_WaitingTime_Dominance,208,4.434000,0.089375522,15684.100,true
GA_WaitingTime_Dominance,208,4.474000,0.088611875,15441.145,true
GA_WaitingTime_Dominance,208,4.510000,0.088311838,15945.630,false
GA_WaitingTime_Dominance,208,4.378000,0.089450145,15403.044,true
GA_WaitingTime_Dominance,208,4.810000,0.087921204,15464.983,false
GA_WaitingTime_Dominance,209,5.338000,0.085856375,16086.209,false
GA_WaitingTime_Dominance,209,5.698000,0.085754047,16153.230,false
GA_WaitingTime_Dominance,209,5.162000,0.087116659,16303.060,false
GA_WaitingTime_Dominance,209,5.262000,0.086932835,17522.670,false
GA_WaitingTime_Dominance,209,5.300000,0.086862255,16432.088,false
GA_WaitingTime_Dominance,209,5.222000,0.086961235,17155.308,false
GA_WaitingTime_Dominance,209,5.218000,0.087062726,17659.153,false
GA_WaitingTime_Dominance,209,5.124000,0.087469091,16276.379,false
GA_WaitingTime_Dominance,209,5.154000,0.087461257,16347.925,false
GA_WaitingTime_Dominance,209,5.306000,0.086794852,15583.820,false
GA_WaitingTime_Dominance,209,4.806000,0.087848914,16879.829,false
GA_WaitingTime_Dominance,209,5.026000,0.087595528,17120.924,false
GA_WaitingTime_Dominance,209,4.956000,0.087643104,16516.039,false
GA_WaitingTime_Dominance,209,5.056000,0.087522122,16234.490,false
GA_WaitingTime_Dominance,209,4.844000,0.087727410,16007.024,false
GA_WaitingTime_Dominance,209,4.714000,0.088453119,16215.671,false
GA_WaitingTime_Dominance,209,4.726000,0.088116285,15457.698,false
GA_WaitingTime_Dominance,209,4.604000,0.089095764,17087.689,false
GA_WaitingTime_Dominance,209,4.708000,0.088493258,16519.633,false
GA_WaitingTime_Dominance,209,4.636000,0.088894679,16313.841,false
GA_WaitingTime_Dominance,209,4.508000,0.089299640,16462.610,false
GA_WaitingTime_Dominance,209,4.642000,0.088714293,16597.863,false
GA_WaitingTime_Dominance,209,4.790000,0.087872896,15858.927,false
GA_WaitingTime_Dominance,209,4.718000,0.088155317,17134.308,false
GA_WaitingTime_Dominance,209,4.640000,0.088811875,16413.686,false
GA_WaitingTime_Dominance,209,4.822000,0.087785097,16553.369,false
GA_WaitingTime_Dominance,209,4.650000,0.088550334,16380.865,false
GA_WaitingTime_Dominance,209,4.632000,0.088986113,16931.671,false
GA_Energy_Dominance,200,10.524000,0.080318658,12933.148,false
GA_Energy_Dominance,200,8.666000,0.088974580,15561.484,false
GA_Energy_Dominance,200,8.822000,0.088929447,15978.144,false
GA_Energy_Dominance,200,9.706000,0.081934410,13138.635,false
GA_Energy_Dominance,200,9.786000,0.081838034,13204.174,false
GA_Energy_Dominance,200,9.130000,0.083619044,12983.999,false
GA_Energy_Dominance,200,8.962000,0.085142179,14450.432,false
GA_Energy_Dominance,200,9.282000,0.083069063,13453.309,false
GA_Energy_Dominance,200,9.070000,0.084751633,13312.689,false
GA_Energy_Dominance,200,9.476000,0.082549310,13184.677,false
GA_Energy_Dominance,200,10.014000,0.081698740,13184.040,false
GA_Energy_Dominance,200,9.638000,0.082261120,13246.125,false
GA_Energy_Dominance,200,10.118000,0.081618731,12873.237,false
GA_Energy_Dominance,200,9.658000,0.082129215,13169.597,false
GA_Energy_Dominance,200,10.278000,0.081101662,13193.845,false
GA_Energy_Dominance,200,9.670000,0.081989145,13201.646,false
GA_Energy_Dominance,200,9.976000,0.081756323,12925.337,false
GA_Energy_Dominance,200,10.176000,0.081338065,13489.014,false
GA_Energy_Dominance,200,16.204000,0.079255441,11893.800,false
GA_Energy_Dominance,200,15.168000,0.079670530,12167.002,false
GA_Energy_Dominance,200,14.564000,0.080266192,12381.399,false
GA_Energy_Dominance,200,16.818000,0.079236611,12499.964,false
GA_Energy_Dominance,200,14.602000,0.079768499,11978.839,false
GA_Energy_Dominance,200,17.836000,0.078551906,12771.928,false
GA_Energy_Dominance,200,19.504000,0.078516039,11880.960,false
GA_Energy_Dominance,200,21.776000,0.075890261,11063.113,false
GA_Energy_Dominance,200,23.136000,0.074897125,12116.168,false
GA_Energy_Dominance,200,19.980000,0.076995440,11262.167,false
GA_Energy_Dominance,200,22.406000,0.075133247,12774.108,false
GA_Energy_Dominance,200,23.740000,0.073482993,12124.320,false
GA_Energy_Dominance,200,23.500000,0.073990917,12588.942,false
GA_Energy_Dominance,200,22.390000,0.075466529,12282.728,false
GA_Energy_Dominance,200,24.498000,0.073355882,11543.690,false
GA_Energy_Dominance,200,25.030000,0.071687341,11234.559,false
GA_Energy_Dominance,200,29.986000,0.069726869,12421.334,false
GA_Energy_Dominance,200,26.116000,0.070763566,12737.952,false
GA_Energy_Dominance,200,28.870000,0.070571326,13178.697,false
GA_Energy_Dominance,200,29.082000,0.070278896,12322.119,false
GA_Energy_Dominance,200,34.788000,0.069072220,11946.133,false
GA_Energy_Dominance,200,38.354000,0.068780221,11399.848,false
GA_Energy_Dominance,200,35.886000,0.068973090,11390.539,false
GA_Energy_Dominance,200,36.356000,0.068840271,11588.118,false
GA_Energy_Dominance,200,30.426000,0.069161422,12107.573,false
GA_Energy_Dominance,200,35.654000,0.068976206,11739.128,false
GA_Energy_Dominance,200,35.022000,0.069042884,11744.957,false
GA_Energy_Dominance,200,40.150000,0.068669996,11229.979,false
GA_Energy_Dominance,201,10.524000,0.080318658,12933.148,false
GA_Energy_Dominance,201,8.354000,0.087400113,14469.462,false
GA_Energy_Dominance,201,10.328000,0.081053729,12898.233,false
GA_Energy_Dominance,201,9.220000,0.084754738,14067.429,false
GA_Energy_Dominance,201,9.132000,0.085271452,13919.458,false
GA_Energy_Dominance,201,9.502000,0.082408320,12738.107,false
GA_Energy_Dominance,201,9.274000,0.083374354,13349.299,false
GA_Energy_Dominance,201,9.964000,0.081678636,13429.331,false
GA_Energy_Dominance,201,10.290000,0.081133424,12780.774,false
GA_Energy_Dominance,201,10.236000,0.081548938,12832.891,false
GA_Energy_Dominance,201,10.360000,0.081037345,12905.077,false
GA_Energy_Dominance,201,20.862000,0.078885475,12838.038,false
GA_Energy_Dominance,201,18.784000,0.079541977,13369.740,false
GA_Energy_Dominance,201,17.502000,0.079584616,12247.727,false
GA_Energy_Dominance,201,20.274000,0.078920800,12850.984,false
GA_Energy_Dominance,201,21.116000,0.077871492,12393.960,false
GA_Energy_Dominance,201,26.970000,0.076790918,13845.249,false
GA_Energy_Dominance,201,25.116000,0.076816555,12252.678,false
GA_Energy_Dominance,201,24.008000,0.077356398,13162.772,false
GA_Energy_Dominance,201,29.292000,0.075546564,11808.587,false
GA_Energy_Dominance,201,28.710000,0.075646380,12867.585,false
GA_Energy_Dominance,201,27.584000,0.076645705,12866.072,false
GA_Energy_Dominance,201,30.664000,0.075443638,12432.905,false
GA_Energy_Dominance,201,30.850000,0.074616432,12593.168,false
GA_Energy_Dominance,201,31.418000,0.073788382,12730.841,false
GA_Energy_Dominance,201,27.646000,0.075757714,12138.957,false
GA_Energy_Dominance,201,34.620000,0.073626847,11818.635,false
GA_Energy_Dominance,201,40.972000,0.072620664,11760.904,false
GA_Energy_Dominance,201,36.338000,0.073454419,13349.135,false
GA_Energy_Dominance,201,38.608000,0.073072298,12511.842,false
GA_Energy_Dominance,201,37.470000,0.073271777,12178.908,false
GA_Energy_Dominance,201,35.542000,0.073584153,13040.047,false
GA_Energy_Dominance,201,40.270000,0.072739388,12210.542,false
GA_Energy_Dominance,201,41.066000,0.072369742,11118.850,false
GA_Energy_Dominance,201,40.180000,0.072967456,12102.319,false
GA_Energy_Dominance,201,44.022000,0.071529076,11635.405,false
GA_Energy_Dominance,201,40.532000,0.072635161,11642.989,false
GA_Energy_Dominance,201,43.256000,0.071916625,12197.846,false
GA_Energy_Dominance,201,53.392000,0.070297882,11929.574,false
GA_Energy_Dominance,201,46.214000,0.071139768,11042.340,false
GA_Energy_Dominance,201,49.038000,0.071070634,12630.662,false
GA_Energy_Dominance,201,48.914000,0.071072508,12525.641,false
GA_Energy_Dominance,201,49.866000,0.070563605,12202.337,false
GA_Energy_Dominance,201,52.302000,0.070498212,12204.016,false
GA_Energy_Dominance,201,49.280000,0.070898223,12673.915,false
GA_Energy_Dominance,201,53.250000,0.070425702,12488.641,false
GA_Energy_Dominance,201,52.686000,0.070459113,11942.581,false
GA_Energy_Dominance,201,55.036000,0.069994845,11837.762,false
GA_Energy_Dominance,201,55.756000,0.069647291,12578.679,false
GA_Energy_Dominance,201,61.560000,0.068861675,12199.086,false
GA_Energy_Dominance,201,61.680000,0.068697495,11882.633,false
GA_Energy_Dominance,201,58.022000,0.069113076,11429.310,false
GA_Energy_Dominance,201,59.284000,0.068867295,11106.379,false
GA_Energy_Dominance,201,62.176000,0.068313437,11551.513,false
GA_Energy_Dominance,201,71.900000,0.067202156,11065.799,false
GA_Energy_Dominance,201,56.450000,0.069403498,11575.500,false
GA_Energy_Dominance,201,68.552000,0.067346862,10454.587,false
