Scenario,ScenarioName,Algorithm,CapWatts,NumSeeds,MeanFeasibilityRate,StdFeasibilityRate,MinFeasibilityRate,MaxFeasibilityRate,TotalSolutionsAcrossSeeds,TotalFeasibleAcrossSeeds
1,Balanced,SA_Energy_Dominance_PC50,15807.7,10,1.0000,0.0000,1.0000,1.0000,713,713
1,Balanced,SA_Energy_Dominance_PC50,14092.8,10,1.0000,0.0000,1.0000,1.0000,713,713
1,Balanced,SA_Energy_Dominance_PC50,11702.2,10,0.7812,0.2033,0.3944,1.0000,713,549
1,Balanced,NSGA-II_PC50,16592.3,10,1.0000,0.0000,1.0000,1.0000,306,306
1,Balanced,NSGA-II_PC50,15807.7,10,1.0000,0.0000,1.0000,1.0000,306,306
1,Balanced,NSGA-II_PC50,14092.8,10,1.0000,0.0000,1.0000,1.0000,306,306
1,Balanced,NSGA-II_PC50,11702.2,10,0.0000,0.0000,0.0000,0.0000,306,0
1,Balanced,SPEA-II_PC50,16592.3,10,1.0000,0.0000,1.0000,1.0000,264,264
1,Balanced,SPEA-II_PC50,15807.7,10,1.0000,0.0000,1.0000,1.0000,264,264
1,Balanced,SPEA-II_PC50,14092.8,10,1.0000,0.0000,1.0000,1.0000,264,264
1,Balanced,SPEA-II_PC50,11702.2,10,0.0000,0.0000,0.0000,0.0000,264,0
1,Balanced,AMOSA_PC50,16592.3,10,1.0000,0.0000,1.0000,1.0000,236,236
1,Balanced,AMOSA_PC50,15807.7,10,1.0000,0.0000,1.0000,1.0000,236,236
1,Balanced,AMOSA_PC50,14092.8,10,1.0000,0.0000,1.0000,1.0000,236,236
1,Balanced,AMOSA_PC50,11702.2,10,0.0000,0.0000,0.0000,0.0000,236,0
1,Balanced,GA_WaitingTime_Dominance_PC25,16592.3,10,1.0000,0.0000,1.0000,1.0000,10,10
1,Balanced,GA_WaitingTime_Dominance_PC25,15807.7,10,1.0000,0.0000,1.0000,1.0000,10,10
1,Balanced,GA_WaitingTime_Dominance_PC25,14092.8,10,0.0000,0.0000,0.0000,0.0000,10,0
1,Balanced,GA_WaitingTime_Dominance_PC25,11702.2,10,0.0000,0.0000,0.0000,0.0000,10,0
1,Balanced,GA_Energy_Dominance_PC25,16592.3,10,1.0000,0.0000,1.0000,1.0000,102,102
1,Balanced,GA_Energy_Dominance_PC25,15807.7,10,1.0000,0.0000,1.0000,1.0000,102,102
1,Balanced,GA_Energy_Dominance_PC25,14092.8,10,1.0000,0.0000,1.0000,1.0000,102,102
1,Balanced,GA_Energy_Dominance_PC25,11702.2,10,1.0000,0.0000,1.0000,1.0000,102,102
1,Balanced,SA_WaitingTime_Dominance_PC25,16592.3,10,1.0000,0.0000,1.0000,1.0000,12,12
1,Balanced,SA_WaitingTime_Dominance_PC25,15807.7,10,1.0000,0.0000,1.0000,1.0000,12,12
