Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,WaitingTime_Best,Energy_Best,PeakPower_Min,PeakPower_Mean
1,Balanced,SPEA-II_PC_120kW,MEAN,0.429657,0.120771,0.268384,0.016426,,0,7551,6.876000,0.384608494,95281.610,112581.159
1,Balanced,AMOSA_PC_190kW,200,0.413761,0.073771,0.162675,0.007060,31,0,8886,5.112000,0.488819093,177060.804,185396.504
1,Balanced,AMOSA_PC_190kW,201,0.446757,0.074469,0.143169,0.009740,36,0,8794,5.150000,0.463863381,167577.437,183181.245
1,Balanced,AMOSA_PC_190kW,202,0.443580,0.086607,0.150175,0.010910,27,0,8800,5.150000,0.465119781,160281.059,179525.791
1,Balanced,AMOSA_PC_190kW,203,0.399151,0.067713,0.176842,0.006536,26,0,8803,5.076000,0.499429846,175374.268,184321.668
1,Balanced,AMOSA_PC_190kW,204,0.419244,0.081073,0.155456,0.004142,42,0,8773,5.204000,0.481735770,167473.003,182411.963
1,Balanced,AMOSA_PC_190kW,205,0.452268,0.065998,0.145459,0.005090,39,0,8793,5.118000,0.464428353,162071.809,177828.879
1,Balanced,AMOSA_PC_190kW,206,0.429532,0.069316,0.150422,0.023860,29,0,8814,5.318000,0.474602668,169323.233,181066.227
1,Balanced,AMOSA_PC_190kW,207,0.408072,0.078573,0.165766,0.008093,38,0,8826,5.236000,0.488945380,168503.064,181411.667
1,Balanced,AMOSA_PC_190kW,208,0.385311,0.071590,0.174268,0.007860,29,0,8797,5.200000,0.504947106,172278.488,184610.431
1,Balanced,AMOSA_PC_190kW,209,0.412169,0.067719,0.168132,0.008860,26,0,8843,5.218000,0.488347959,174499.105,183418.106
1,Balanced,AMOSA_PC_190kW,MEAN,0.420984,0.073683,0.159236,0.009215,,0,8812,5.076000,0.463863381,160281.059,182183.102
1,Balanced,AMOSA_PC_120kW,200,0.172137,0.414264,0.440731,0.019950,7,0,8570,8.488000,0.564477815,115913.187,118749.560
1,Balanced,AMOSA_PC_120kW,201,0.198976,0.363920,0.395150,0.022996,10,0,8597,7.972000,0.553658655,113460.457,117963.060
1,Balanced,AMOSA_PC_120kW,202,0.193792,0.389143,0.404508,0.033542,8,0,8610,7.964000,0.555600137,113475.814,117936.074
1,Balanced,AMOSA_PC_120kW,203,0.284144,0.283769,0.343118,0.013217,22,0,8626,7.746000,0.484876780,114440.539,118103.786
1,Balanced,AMOSA_PC_120kW,204,0.159579,0.420584,0.454748,0.047402,5,0,8556,8.404000,0.572976485,118033.069,119023.850
1,Balanced,AMOSA_PC_120kW,205,0.208913,0.346102,0.382718,0.009250,11,0,8634,7.820000,0.552730336,114061.743,117813.469
1,Balanced,AMOSA_PC_120kW,206,0.129500,0.456074,0.495371,0.005284,11,0,8578,8.954000,0.595544202,117761.620,118930.765
1,Balanced,AMOSA_PC_120kW,207,0.195266,0.371829,0.412391,0.015944,7,0,8581,8.262000,0.550623648,117229.462,118940.323
1,Balanced,AMOSA_PC_120kW,208,0.262065,0.285834,0.340797,0.009907,10,0,8577,7.612000,0.516225247,115705.682,118041.532
1,Balanced,AMOSA_PC_120kW,209,0.173607,0.414766,0.448893,0.009727,10,0,8601,8.516000,0.558620477,115244.340,117801.682
1,Balanced,AMOSA_PC_120kW,MEAN,0.197798,0.374628,0.411843,0.018722,,0,8593,7.612000,0.484876780,113460.457,118247.224
1,Balanced,GA_WaitingTime_Dominance_PC_190kW,200,0.218137,0.123853,0.292443,0.000000,2,0,6611,5.368000,0.598496789,187500.222,187792.784
1,Balanced,GA_WaitingTime_Dominance_PC_190kW,201,0.244336,0.037751,0.279686,0.000000,1,0,6584,4.978000,0.591855793,189151.177,189151.177
1,Balanced,GA_WaitingTime_Dominance_PC_190kW,202,0.264526,0.089784,0.265605,0.000000,1,0,6564,5.542000,0.570639798,188572.661,188572.661
1,Balanced,GA_WaitingTime_Dominance_PC_190kW,203,0.147988,0.246451,0.348779,0.067173,3,0,6554,4.982000,0.635400188,183827.039,186232.913
1,Balanced,GA_WaitingTime_Dominance_PC_190kW,204,0.252638,0.121984,0.267464,0.036736,3,0,6562,5.264000,0.577922174,187458.064,188444.039
1,Balanced,GA_WaitingTime_Dominance_PC_190kW,205,0.155873,0.311191,0.377637,0.000000,2,0,6585,7.182000,0.612223492,187068.712,187155.396
1,Balanced,GA_WaitingTime_Dominance_PC_190kW,206,0.195970,0.202223,0.298109,0.000000,2,0,6567,5.438000,0.612343622,182130.258,184231.148
1,Balanced,GA_WaitingTime_Dominance_PC_190kW,207,0.194866,0.145147,0.309943,0.000000,2,0,6533,5.380000,0.611745037,184875.564,187410.980
1,Balanced,GA_WaitingTime_Dominance_PC_190kW,208,0.241229,0.082104,0.273975,0.000000,2,0,6586,5.078000,0.591197733,187187.202,188541.013
1,Balanced,GA_WaitingTime_Dominance_PC_190kW,209,0.241900,0.084026,0.272676,0.000000,2,0,6573,4.984000,0.591885685,186004.177,187689.421
1,Balanced,GA_WaitingTime_Dominance_PC_190kW,MEAN,0.215746,0.144451,0.298632,0.010391,,0,6571,4.978000,0.570639798,182130.258,187369.809
1,Balanced,GA_WaitingTime_Dominance_PC_120kW,200,0.034629,0.567274,0.639148,0.000000,1,0,6572,9.908000,0.684262958,178654.074,178654.074
1,Balanced,GA_WaitingTime_Dominance_PC_120kW,201,0.000000,0.671746,0.773303,0.000000,1,0,6577,10.610000,0.792576189,181949.518,181949.518
1,Balanced,GA_WaitingTime_Dominance_PC_120kW,202,0.091263,0.281001,0.435903,0.000000,1,0,6607,7.106000,0.660896958,179409.998,179409.998
1,Balanced,GA_WaitingTime_Dominance_PC_120kW,203,0.040598,0.438898,0.554977,0.000000,1,0,6565,8.552000,0.689832379,176188.733,176188.733
1,Balanced,GA_WaitingTime_Dominance_PC_120kW,204,0.029774,0.608501,0.671171,0.000000,1,0,6574,10.318000,0.686000266,178244.784,178244.784
1,Balanced,GA_WaitingTime_Dominance_PC_120kW,205,0.049742,0.405731,0.528789,0.000000,1,0,6581,8.248000,0.683834222,176959.518,176959.518
1,Balanced,GA_WaitingTime_Dominance_PC_120kW,206,0.000000,0.578198,0.693764,0.000000,1,0,6567,9.798000,0.744400336,178857.131,178857.131
1,Balanced,GA_WaitingTime_Dominance_PC_120kW,207,0.000000,0.364016,0.576762,0.000000,1,0,6549,7.672000,0.748724689,178326.773,178326.773
1,Balanced,GA_WaitingTime_Dominance_PC_120kW,208,0.147558,0.242752,0.377315,0.000000,1,0,6565,6.916000,0.622681904,175193.069,175193.069
1,Balanced,GA_WaitingTime_Dominance_PC_120kW,209,0.206056,0.082163,0.302389,0.000000,1,0,6589,5.356000,0.608027160,178802.212,178802.212
