Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,WaitingTime_Best,Energy_Best,ScoredSeeds
3,CPU_Stress,SA_WaitingTime_Dominance,205,0.113545,0.014509,0.578451,0.008225,16,4,1813,1.282000,0.045307326,
3,CPU_Stress,SA_WaitingTime_Dominance,206,0.102921,0.008481,0.590031,0.003540,32,0,1791,1.284000,0.045648560,
3,CPU_Stress,SA_WaitingTime_Dominance,207,0.111679,0.017376,0.581995,0.002518,25,4,1795,1.296000,0.045338263,
3,CPU_Stress,SA_WaitingTime_Dominance,208,0.094728,0.008829,0.599421,0.002439,21,0,1834,1.314000,0.045640661,
3,CPU_Stress,SA_WaitingTime_Dominance,209,0.104324,0.013418,0.585787,0.002088,25,2,1816,1.292000,0.045474168,
3,CPU_Stress,SA_WaitingTime_Dominance,MEAN,0.109808,0.012218,0.584042,0.003410,,19,1815,1.282000,0.044761734,10
3,CPU_Stress,SA_Energy_Dominance,200,0.506998,0.112072,0.259224,0.002988,112,0,1993,3.332000,0.036804011,
3,CPU_Stress,SA_Energy_Dominance,201,0.557386,0.116658,0.198311,0.003217,119,0,2026,3.278000,0.035136706,
3,CPU_Stress,SA_Energy_Dominance,202,0.495746,0.092512,0.296209,0.001687,107,0,1920,3.240000,0.037514478,
3,CPU_Stress,SA_Energy_Dominance,203,0.536902,0.119434,0.229273,0.004747,115,0,1983,3.306000,0.035871423,
3,CPU_Stress,SA_Energy_Dominance,204,0.560192,0.130229,0.187055,0.003210,127,0,2024,3.286000,0.034637946,
3,CPU_Stress,SA_Energy_Dominance,205,0.545206,0.094494,0.268988,0.001420,125,2,1978,3.158000,0.036406715,
3,CPU_Stress,SA_Energy_Dominance,206,0.543257,0.121523,0.247411,0.002634,108,4,1959,3.220000,0.035840442,
3,CPU_Stress,SA_Energy_Dominance,207,0.562847,0.124143,0.213779,0.004441,83,3,2081,3.320000,0.035101960,
3,CPU_Stress,SA_Energy_Dominance,208,0.531198,0.159107,0.180552,0.005201,129,0,2204,3.330000,0.034110616,
3,CPU_Stress,SA_Energy_Dominance,209,0.533200,0.095556,0.268263,0.002909,126,0,1960,3.284000,0.036602302,
3,CPU_Stress,SA_Energy_Dominance,MEAN,0.537293,0.116573,0.234907,0.003245,,9,2012,3.158000,0.034110616,10
3,CPU_Stress,NSGA-II,200,0.559118,0.005420,0.300937,0.006689,45,23,5992,1.752000,0.037223072,
3,CPU_Stress,NSGA-II,201,0.569114,0.010258,0.289519,0.010844,51,4,5949,1.744000,0.036999214,
3,CPU_Stress,NSGA-II,202,0.573357,0.012302,0.272325,0.004214,59,5,6092,1.744000,0.036868528,
3,CPU_Stress,NSGA-II,203,0.556041,0.015556,0.285718,0.004251,56,0,6040,1.764000,0.037215604,
3,CPU_Stress,NSGA-II,204,0.558024,0.014180,0.276328,0.004638,58,0,6142,1.774000,0.037180098,
3,CPU_Stress,NSGA-II,205,0.511008,0.010955,0.321744,0.003151,55,0,6015,1.738000,0.038105332,
3,CPU_Stress,NSGA-II,206,0.539330,0.010309,0.301841,0.003861,48,3,6032,1.752000,0.037578684,
3,CPU_Stress,NSGA-II,207,0.540927,0.016597,0.300440,0.003641,55,0,6106,1.738000,0.037493415,
3,CPU_Stress,NSGA-II,208,0.554003,0.010106,0.294604,0.005984,54,0,6088,1.734000,0.037292909,
3,CPU_Stress,NSGA-II,209,0.528565,0.013349,0.300099,0.005702,50,1,5969,1.754000,0.037769281,
3,CPU_Stress,NSGA-II,MEAN,0.548949,0.011903,0.294355,0.005297,,36,6042,1.734000,0.036868528,10
3,CPU_Stress,SPEA-II,200,0.537801,0.011982,0.300173,0.005340,57,0,6524,1.738000,0.037583574,
3,CPU_Stress,SPEA-II,201,0.484480,0.013237,0.334283,0.009343,49,0,6602,1.742000,0.038582077,
3,CPU_Stress,SPEA-II,202,0.528203,0.013307,0.307557,0.003844,55,0,6655,1.716000,0.037768967,
3,CPU_Stress,SPEA-II,203,0.516092,0.016371,0.314522,0.009030,46,2,6831,1.728000,0.037980971,
3,CPU_Stress,SPEA-II,204,0.508563,0.010560,0.321798,0.004714,49,8,6423,1.706000,0.038160162,
3,CPU_Stress,SPEA-II,205,0.505698,0.012053,0.326223,0.003386,42,0,6450,1.708000,0.038188076,
3,CPU_Stress,SPEA-II,206,0.491651,0.010564,0.334686,0.003239,47,0,6495,1.714000,0.038462546,
3,CPU_Stress,SPEA-II,207,0.468818,0.009451,0.354648,0.006741,36,1,6364,1.690000,0.038911461,
3,CPU_Stress,SPEA-II,208,0.513689,0.013541,0.316482,0.005141,53,9,6539,1.672000,0.038052355,
3,CPU_Stress,SPEA-II,209,0.540569,0.018364,0.293800,0.004058,52,0,6648,1.716000,0.037502862,
3,CPU_Stress,SPEA-II,MEAN,0.509556,0.012943,0.320417,0.005483,,20,6553,1.672000,0.037502862,10
3,CPU_Stress,AMOSA,200,0.330646,0.025749,0.417994,0.001897,45,0,4851,1.686000,0.041368314,
3,CPU_Stress,AMOSA,201,0.301131,0.020376,0.428438,0.006415,33,0,4762,1.674000,0.041917348,
3,CPU_Stress,AMOSA,202,0.295700,0.019620,0.442404,0.001681,42,0,4762,1.690000,0.042008728,
3,CPU_Stress,AMOSA,203,0.316373,0.028289,0.424676,0.001398,50,0,4944,1.678000,0.041618612,
3,CPU_Stress,AMOSA,204,0.324997,0.020063,0.423824,0.003239,40,0,4800,1.694000,0.041471592,
