Algorithm,Seed,SeedUniversalFrontSize,SeedUniversalHV_fixed,ContributionCount,ContributionPct
NSGA-II_PC90,208,115,0.798808,0,0.000000
NSGA-II_PC90,209,113,0.824576,0,0.000000
NSGA-II_PC90,MEAN,,,5.800000,5.011394
NSGA-II_PC90,STDDEV,,,7.194442,6.459218
SPEA-II_PC90,200,120,0.811514,2,1.666667
SPEA-II_PC90,201,98,0.833242,0,0.000000
SPEA-II_PC90,202,132,0.847837,1,0.757576
SPEA-II_PC90,203,101,0.824075,0,0.000000
SPEA-II_PC90,204,113,0.843640,8,7.079646
SPEA-II_PC90,205,95,0.787543,0,0.000000
SPEA-II_PC90,206,130,0.842510,18,13.846154
SPEA-II_PC90,207,120,0.804333,0,0.000000
SPEA-II_PC90,208,115,0.798808,1,0.869565
SPEA-II_PC90,209,113,0.824576,0,0.000000
SPEA-II_PC90,MEAN,,,3.000000,2.421961
SPEA-II_PC90,STDDEV,,,5.513620,4.327658
AMOSA_PC90,200,120,0.811514,0,0.000000
AMOSA_PC90,201,98,0.833242,0,0.000000
AMOSA_PC90,202,132,0.847837,0,0.000000
AMOSA_PC90,203,101,0.824075,0,0.000000
AMOSA_PC90,204,113,0.843640,0,0.000000
AMOSA_PC90,205,95,0.787543,0,0.000000
AMOSA_PC90,206,130,0.842510,0,0.000000
AMOSA_PC90,207,120,0.804333,0,0.000000
AMOSA_PC90,208,115,0.798808,0,0.000000
AMOSA_PC90,209,113,0.824576,0,0.000000
AMOSA_PC90,MEAN,,,0.000000,0.000000
AMOSA_PC90,STDDEV,,,0.000000,0.000000
GA_WaitingTime_Dominance_PC80,200,120,0.811514,0,0.000000
GA_WaitingTime_Dominance_PC80,201,98,0.833242,0,0.000000
GA_WaitingTime_Dominance_PC80,202,132,0.847837,0,0.000000
GA_WaitingTime_Dominance_PC80,203,101,0.824075,4,3.960396
GA_WaitingTime_Dominance_PC80,204,113,0.843640,0,0.000000
GA_WaitingTime_Dominance_PC80,205,95,0.787543,0,0.000000
GA_WaitingTime_Dominance_PC80,206,130,0.842510,0,0.000000
GA_WaitingTime_Dominance_PC80,207,120,0.804333,0,0.000000
GA_WaitingTime_Dominance_PC80,208,115,0.798808,0,0.000000
GA_WaitingTime_Dominance_PC80,209,113,0.824576,0,0.000000
GA_WaitingTime_Dominance_PC80,MEAN,,,0.400000,0.396040
GA_WaitingTime_Dominance_PC80,STDDEV,,,1.200000,1.188119
GA_Energy_Dominance_PC80,200,120,0.811514,0,0.000000
