CapTier,CapWatts,WaitingTime,Energy
PC90,15824.323,23.166000,0.030858339
PC90,15824.323,23.400000,0.030826032
PC90,15824.323,23.632000,0.030742497
PC90,15824.323,23.880000,0.030652628
PC90,15824.323,24.128000,0.030626830
PC90,15824.323,24.390000,0.030597754
PC90,15824.323,24.872000,0.030454383
PC90,15824.323,25.324000,0.030370726
PC90,15824.323,25.680000,0.030301413
PC90,15824.323,27.644000,0.030198623
PC90,15824.323,28.626000,0.030032569
PC90,15824.323,29.106000,0.029930471
PC90,15824.323,29.696000,0.029927910
PC90,15824.323,29.980000,0.029926511
PC85,14945.194,1.514000,0.046535026
PC85,14945.194,1.516000,0.046139924
PC85,14945.194,1.518000,0.046121803
PC85,14945.194,1.520000,0.046083183
PC85,14945.194,1.526000,0.045721808
PC85,14945.194,1.528000,0.045703732
PC85,14945.194,1.532000,0.045671832
PC85,14945.194,1.534000,0.045644595
PC85,14945.194,1.536000,0.045491873
PC85,14945.194,1.570000,0.045474644
PC85,14945.194,1.586000,0.045445894
PC85,14945.194,1.592000,0.045395300
PC85,14945.194,1.610000,0.045256583
PC85,14945.194,1.616000,0.045140899
PC85,14945.194,1.638000,0.045139808
PC85,14945.194,1.644000,0.045083522
PC85,14945.194,1.722000,0.045034856
PC85,14945.194,1.732000,0.045010828
PC85,14945.194,1.744000,0.044977713
PC85,14945.194,1.936000,0.044960205
PC85,14945.194,2.084000,0.044910376
PC85,14945.194,2.098000,0.044786155
PC85,14945.194,2.118000,0.044543578
PC85,14945.194,2.120000,0.044510519
PC85,14945.194,2.140000,0.042740288
PC85,14945.194,2.156000,0.040144060
PC85,14945.194,2.186000,0.040082135
PC85,14945.194,2.218000,0.039922383
PC85,14945.194,2.238000,0.039913566
PC85,14945.194,2.246000,0.039876693
PC85,14945.194,2.254000,0.039791360
PC85,14945.194,2.278000,0.039764895
PC85,14945.194,2.282000,0.039627604
PC85,14945.194,2.312000,0.039433664
PC85,14945.194,2.378000,0.039354139
PC85,14945.194,2.400000,0.039285950
PC85,14945.194,2.408000,0.039160206
PC85,14945.194,2.430000,0.039109221
PC85,14945.194,2.436000,0.038969565
PC85,14945.194,2.438000,0.038918978
PC85,14945.194,2.470000,0.038912387
PC85,14945.194,2.498000,0.038888744
PC85,14945.194,2.514000,0.038859426
PC85,14945.194,2.530000,0.038708643
PC85,14945.194,2.540000,0.038562739
PC85,14945.194,2.560000,0.038538159
PC85,14945.194,2.580000,0.038310480
PC85,14945.194,2.682000,0.038225114
PC85,14945.194,2.688000,0.038191214
PC85,14945.194,2.710000,0.038172134
PC85,14945.194,2.714000,0.038026829
PC85,14945.194,2.738000,0.038006373
PC85,14945.194,2.808000,0.037924202
PC85,14945.194,2.828000,0.037868701
PC85,14945.194,2.858000,0.037851651
PC85,14945.194,2.868000,0.037804692
PC85,14945.194,2.872000,0.037778072
PC85,14945.194,2.880000,0.037752547
PC85,14945.194,2.908000,0.037747934
PC85,14945.194,2.916000,0.037695700
PC85,14945.194,2.968000,0.037687197
PC85,14945.194,3.024000,0.037655521
PC85,14945.194,3.030000,0.037619343
PC85,14945.194,3.120000,0.037610157
PC85,14945.194,3.140000,0.037569916
PC85,14945.194,3.160000,0.037559563
PC85,14945.194,3.178000,0.037550937
PC85,14945.194,3.222000,0.037543442
PC85,14945.194,3.230000,0.037474581
