Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed,ScoredSeeds
GA_WaitingTime_Dominance_PC90,203,0.099990,0.020415,0.478160,0.001924,10,10,0,10190,0.293888,
GA_WaitingTime_Dominance_PC90,204,0.064122,0.065287,0.485429,0.050548,17,17,0,10350,0.253309,
GA_WaitingTime_Dominance_PC90,205,0.076094,0.065349,0.475899,0.020233,14,14,0,10468,0.275498,
GA_WaitingTime_Dominance_PC90,206,0.103832,0.059094,0.444641,0.030329,18,18,0,11240,0.296908,
GA_WaitingTime_Dominance_PC90,207,0.113066,0.109161,0.449862,0.016421,19,19,0,9943,0.303176,
GA_WaitingTime_Dominance_PC90,208,0.060247,0.095755,0.476428,0.075401,16,16,0,10125,0.264118,
GA_WaitingTime_Dominance_PC90,209,0.103987,0.045191,0.447759,0.091987,8,8,0,10132,0.297345,
GA_WaitingTime_Dominance_PC90,MEAN,0.082605,0.065081,0.471776,0.039353,13,13,0,10423,0.279263,10
GA_WaitingTime_Dominance_PC90,STDDEV,0.020446,0.028575,0.020267,0.028665,,,,,0.017219,
GA_Energy_Dominance_PC90,200,0.572854,0.085970,0.167509,0.005902,58,58,10,9402,0.651204,
GA_Energy_Dominance_PC90,201,0.548550,0.168752,0.196121,0.011821,48,48,0,9405,0.645911,
GA_Energy_Dominance_PC90,202,0.605168,0.103621,0.163309,0.007198,63,64,7,9247,0.677465,
GA_Energy_Dominance_PC90,203,0.576934,0.131794,0.173452,0.024529,61,61,0,9436,0.660298,
GA_Energy_Dominance_PC90,204,0.557913,0.169730,0.190747,0.010465,43,43,0,9326,0.645723,
GA_Energy_Dominance_PC90,205,0.455298,0.095004,0.228373,0.003106,28,28,0,9023,0.552888,
GA_Energy_Dominance_PC90,206,0.564086,0.154193,0.183743,0.008723,54,54,0,9263,0.657931,
GA_Energy_Dominance_PC90,207,0.513469,0.091559,0.186079,0.004512,74,74,0,9053,0.600657,
GA_Energy_Dominance_PC90,208,0.576181,0.142883,0.173891,0.006957,64,64,0,9517,0.661939,
GA_Energy_Dominance_PC90,209,0.594759,0.124840,0.161913,0.014748,53,53,0,9751,0.675303,
GA_Energy_Dominance_PC90,MEAN,0.556521,0.126835,0.182514,0.009796,55,55,17,9342,0.642932,10
GA_Energy_Dominance_PC90,STDDEV,0.041377,0.030163,0.018828,0.005916,,,,,0.036206,
SA_WaitingTime_Dominance_PC90,200,0.280034,0.034716,0.348051,0.053487,24,24,0,6882,0.398835,
SA_WaitingTime_Dominance_PC90,201,0.253270,0.042412,0.359240,0.004207,18,19,0,6835,0.397575,
SA_WaitingTime_Dominance_PC90,202,0.150787,0.037007,0.420023,0.001991,11,11,0,6756,0.337454,
SA_WaitingTime_Dominance_PC90,203,0.243473,0.048135,0.360868,0.040215,18,18,0,6916,0.398178,
SA_WaitingTime_Dominance_PC90,204,0.258344,0.024818,0.355992,0.001297,14,14,0,6914,0.399369,
SA_WaitingTime_Dominance_PC90,205,0.229085,0.023550,0.366591,0.069940,11,11,0,7006,0.397484,
SA_WaitingTime_Dominance_PC90,206,0.235782,0.017172,0.362668,0.124945,6,6,0,6764,0.399723,
SA_WaitingTime_Dominance_PC90,207,0.260736,0.026841,0.353290,0.053407,17,17,0,6971,0.399349,
SA_WaitingTime_Dominance_PC90,208,0.257616,0.026819,0.356297,0.003370,14,14,0,6890,0.399213,
SA_WaitingTime_Dominance_PC90,209,0.279569,0.031091,0.348781,0.002226,14,14,0,6878,0.399667,
SA_WaitingTime_Dominance_PC90,MEAN,0.244870,0.031256,0.363180,0.035508,15,15,0,6881,0.392685,10
SA_WaitingTime_Dominance_PC90,STDDEV,0.035060,0.008904,0.019741,0.039070,,,,,0.018427,
SA_Energy_Dominance_PC90,200,0.530499,0.191902,0.200254,0.003969,57,57,0,6276,0.618605,
SA_Energy_Dominance_PC90,201,0.542741,0.201911,0.201813,0.003907,40,40,0,6244,0.629494,
SA_Energy_Dominance_PC90,202,0.553520,0.201693,0.201521,0.009557,40,41,2,6198,0.637667,
SA_Energy_Dominance_PC90,203,0.506767,0.235484,0.209157,0.004781,45,45,0,6951,0.601472,
SA_Energy_Dominance_PC90,204,0.564626,0.215445,0.207632,0.003322,60,61,5,6340,0.650298,
SA_Energy_Dominance_PC90,205,0.531583,0.177739,0.192270,0.007453,62,63,0,6362,0.619833,
SA_Energy_Dominance_PC90,206,0.505548,0.238484,0.208758,0.008946,41,42,0,6406,0.603544,
SA_Energy_Dominance_PC90,207,0.501234,0.206878,0.211035,0.004401,34,34,0,6299,0.601698,
SA_Energy_Dominance_PC90,208,0.510502,0.192960,0.201537,0.006706,60,62,0,6305,0.601488,
SA_Energy_Dominance_PC90,209,0.531827,0.227864,0.210212,0.006563,37,37,0,6321,0.625786,
SA_Energy_Dominance_PC90,MEAN,0.527885,0.209036,0.204419,0.005961,48,48,7,6370,0.618988,10
SA_Energy_Dominance_PC90,STDDEV,0.020545,0.018982,0.005634,0.002097,,,,,0.016239,
NSGA-II_PC90,200,0.537412,0.046308,0.180679,0.003145,57,57,0,12115,0.628385,
NSGA-II_PC90,201,0.522612,0.053013,0.169400,0.007482,49,49,0,11870,0.614987,
