Scenario,ScenarioName,Algorithm,CapWatts,NumSeeds,MeanFeasibilityRate,StdFeasibilityRate,MinFeasibilityRate,MaxFeasibilityRate,TotalSolutionsAcrossSeeds,TotalFeasibleAcrossSeeds
2,GPU_Stress,AMOSA,16112.9,10,0.3317,0.1854,0.0526,0.5882,153,48
2,GPU_Stress,AMOSA,14566.4,10,0.1186,0.1958,0.0000,0.5000,153,16
2,GPU_Stress,GA_WaitingTime_Dominance_PC90,17961.8,10,1.0000,0.0000,1.0000,1.0000,213,213
2,GPU_Stress,GA_WaitingTime_Dominance_PC90,16112.9,10,0.0348,0.0476,0.0000,0.1579,213,8
2,GPU_Stress,GA_WaitingTime_Dominance_PC90,14566.4,10,0.0000,0.0000,0.0000,0.0000,213,0
2,GPU_Stress,GA_Energy_Dominance_PC90,17961.8,10,1.0000,0.0000,1.0000,1.0000,558,558
2,GPU_Stress,GA_Energy_Dominance_PC90,16112.9,10,1.0000,0.0000,1.0000,1.0000,558,558
2,GPU_Stress,GA_Energy_Dominance_PC90,14566.4,10,0.9179,0.1353,0.5625,1.0000,558,516
2,GPU_Stress,SA_WaitingTime_Dominance_PC90,17961.8,10,1.0000,0.0000,1.0000,1.0000,153,153
2,GPU_Stress,SA_WaitingTime_Dominance_PC90,16112.9,10,0.3163,0.1363,0.1429,0.6154,153,48
2,GPU_Stress,SA_WaitingTime_Dominance_PC90,14566.4,10,0.0000,0.0000,0.0000,0.0000,153,0
2,GPU_Stress,SA_Energy_Dominance_PC90,17961.8,10,1.0000,0.0000,1.0000,1.0000,493,493
2,GPU_Stress,SA_Energy_Dominance_PC90,16112.9,10,0.9717,0.0613,0.8148,1.0000,493,479
2,GPU_Stress,SA_Energy_Dominance_PC90,14566.4,10,0.4561,0.0749,0.3250,0.6119,493,225
2,GPU_Stress,NSGA-II_PC90,17961.8,10,1.0000,0.0000,1.0000,1.0000,440,440
2,GPU_Stress,NSGA-II_PC90,16112.9,10,0.8636,0.0808,0.7317,0.9535,440,380
2,GPU_Stress,NSGA-II_PC90,14566.4,10,0.3162,0.2635,0.0000,0.7667,440,134
2,GPU_Stress,SPEA-II_PC90,17961.8,10,1.0000,0.0000,1.0000,1.0000,353,353
2,GPU_Stress,SPEA-II_PC90,16112.9,10,0.9093,0.1187,0.6944,1.0000,353,321
2,GPU_Stress,SPEA-II_PC90,14566.4,10,0.4007,0.3087,0.0000,0.7308,353,144
2,GPU_Stress,AMOSA_PC90,17961.8,10,1.0000,0.0000,1.0000,1.0000,141,141
2,GPU_Stress,AMOSA_PC90,16112.9,10,0.2200,0.3056,0.0000,0.8000,141,37
2,GPU_Stress,AMOSA_PC90,14566.4,10,0.0542,0.1243,0.0000,0.3750,141,8
2,GPU_Stress,GA_WaitingTime_Dominance_PC60,17961.8,10,1.0000,0.0000,1.0000,1.0000,77,77
2,GPU_Stress,GA_WaitingTime_Dominance_PC60,16112.9,10,1.0000,0.0000,1.0000,1.0000,77,77
2,GPU_Stress,GA_WaitingTime_Dominance_PC60,14566.4,10,0.0000,0.0000,0.0000,0.0000,77,0
2,GPU_Stress,GA_Energy_Dominance_PC60,17961.8,10,1.0000,0.0000,1.0000,1.0000,558,558
2,GPU_Stress,GA_Energy_Dominance_PC60,16112.9,10,1.0000,0.0000,1.0000,1.0000,558,558
2,GPU_Stress,GA_Energy_Dominance_PC60,14566.4,10,0.9179,0.1353,0.5625,1.0000,558,516
2,GPU_Stress,SA_WaitingTime_Dominance_PC60,17961.8,10,1.0000,0.0000,1.0000,1.0000,123,123
2,GPU_Stress,SA_WaitingTime_Dominance_PC60,16112.9,10,1.0000,0.0000,1.0000,1.0000,123,123
2,GPU_Stress,SA_WaitingTime_Dominance_PC60,14566.4,10,0.0000,0.0000,0.0000,0.0000,123,0
2,GPU_Stress,SA_Energy_Dominance_PC60,17961.8,10,1.0000,0.0000,1.0000,1.0000,490,490
2,GPU_Stress,SA_Energy_Dominance_PC60,16112.9,10,1.0000,0.0000,1.0000,1.0000,490,490
2,GPU_Stress,SA_Energy_Dominance_PC60,14566.4,10,0.4590,0.0828,0.3250,0.6119,490,225
2,GPU_Stress,NSGA-II_PC60,17961.8,10,1.0000,0.0000,1.0000,1.0000,398,398
