Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed
SPEA-II_PC90,203,0.381734,0.033346,0.316870,0.000811,26,26,0,13236,0.527803
SPEA-II_PC90,204,0.492938,0.053338,0.238967,0.003769,41,41,0,13432,0.610898
SPEA-II_PC90,205,0.476644,0.026725,0.247313,0.003186,44,44,0,12964,0.598982
SPEA-II_PC90,206,0.552788,0.026782,0.211240,0.003085,45,45,0,13420,0.656839
SPEA-II_PC90,207,0.410593,0.002831,0.314886,0.000969,24,24,0,9667,0.551936
SPEA-II_PC90,208,0.513963,0.040576,0.227114,0.003090,37,37,0,13189,0.626482
SPEA-II_PC90,209,0.523290,0.024306,0.234501,0.003371,39,39,0,13603,0.634475
SPEA-II_PC90,MEAN,0.481626,0.027630,0.253703,0.002712,35,35,0,12953,0.603137
SPEA-II_PC90,STDDEV,0.053413,0.012946,0.036396,0.000967,,,,,0.039769
AMOSA_PC90,200,0.282393,0.072519,0.359141,0.010691,15,15,0,14496,0.447996
AMOSA_PC90,201,0.284255,0.050199,0.368001,0.004197,12,12,0,13657,0.449778
AMOSA_PC90,202,0.259766,0.054809,0.384041,0.004031,13,13,0,13848,0.431362
AMOSA_PC90,203,0.275396,0.058432,0.369481,0.004935,15,15,0,13942,0.443079
AMOSA_PC90,204,0.265073,0.064444,0.371258,0.009826,11,11,0,14402,0.435443
AMOSA_PC90,205,0.254772,0.052511,0.386878,0.003134,12,12,0,14278,0.427112
AMOSA_PC90,206,0.298328,0.104186,0.342123,0.006198,23,23,0,13972,0.460362
AMOSA_PC90,207,0.258642,0.070562,0.380934,0.002091,16,16,0,14728,0.429978
AMOSA_PC90,208,0.243212,0.073580,0.386923,0.002122,12,12,0,13683,0.417697
AMOSA_PC90,209,0.256841,0.057107,0.385319,0.009765,12,12,0,13990,0.428715
AMOSA_PC90,MEAN,0.267868,0.065835,0.373410,0.005699,14,14,0,14099,0.437152
AMOSA_PC90,STDDEV,0.015886,0.015081,0.013810,0.003111,,,,,0.012204
GA_WaitingTime_Dominance_PC60,200,0.243745,0.055631,0.396280,0.008813,6,6,0,9334,0.419308
GA_WaitingTime_Dominance_PC60,201,0.233435,0.046499,0.412044,0.000000,2,2,0,9333,0.413728
GA_WaitingTime_Dominance_PC60,202,0.243953,0.050069,0.400367,0.006513,8,8,0,9467,0.424750
GA_WaitingTime_Dominance_PC60,203,0.237452,0.048425,0.405665,0.015548,6,6,0,9367,0.424629
GA_WaitingTime_Dominance_PC60,204,0.227007,0.060981,0.413056,0.002156,4,4,0,9799,0.405537
GA_WaitingTime_Dominance_PC60,205,0.243115,0.046326,0.400122,0.017487,5,5,0,9903,0.420545
GA_WaitingTime_Dominance_PC60,206,0.231110,0.057834,0.408196,0.004797,14,14,0,9581,0.409581
GA_WaitingTime_Dominance_PC60,207,0.243256,0.047425,0.401491,0.002440,11,11,0,9429,0.420258
GA_WaitingTime_Dominance_PC60,208,0.245150,0.051531,0.399758,0.002426,12,12,0,9194,0.422685
GA_WaitingTime_Dominance_PC60,209,0.230139,0.062981,0.408353,0.005897,9,9,0,9301,0.410312
GA_WaitingTime_Dominance_PC60,MEAN,0.237836,0.052770,0.404533,0.006608,8,8,0,9470,0.417133
GA_WaitingTime_Dominance_PC60,STDDEV,0.006514,0.005854,0.005434,0.005525,,,,,0.006487
GA_Energy_Dominance_PC60,200,0.582765,0.115282,0.177675,0.011842,46,46,2,9548,0.676240
GA_Energy_Dominance_PC60,201,0.543162,0.164644,0.191899,0.007628,62,62,0,9909,0.648910
GA_Energy_Dominance_PC60,202,0.587470,0.129830,0.174532,0.018362,47,47,11,9748,0.681581
GA_Energy_Dominance_PC60,203,0.482257,0.205413,0.222349,0.018750,51,51,0,9927,0.608334
GA_Energy_Dominance_PC60,204,0.564083,0.167633,0.187951,0.013941,53,54,0,9652,0.664854
GA_Energy_Dominance_PC60,205,0.508098,0.112205,0.225226,0.004282,62,62,0,9205,0.608291
GA_Energy_Dominance_PC60,206,0.545210,0.137127,0.188886,0.005411,79,79,9,10145,0.657393
GA_Energy_Dominance_PC60,207,0.597610,0.123557,0.170921,0.008643,62,62,5,9563,0.686279
GA_Energy_Dominance_PC60,208,0.558242,0.121826,0.192627,0.005648,47,47,0,9427,0.653359
GA_Energy_Dominance_PC60,209,0.553928,0.157186,0.195810,0.023617,48,48,0,10379,0.646748
GA_Energy_Dominance_PC60,MEAN,0.552283,0.143470,0.192787,0.011812,56,56,27,9750,0.653199
GA_Energy_Dominance_PC60,STDDEV,0.033747,0.028144,0.017362,0.006310,,,,,0.025834
SA_WaitingTime_Dominance_PC60,200,0.276106,0.053789,0.383160,0.002287,12,12,0,7108,0.422742
SA_WaitingTime_Dominance_PC60,201,0.240470,0.044621,0.393854,0.012271,11,11,0,7147,0.426781
SA_WaitingTime_Dominance_PC60,202,0.255123,0.028740,0.389038,0.003333,8,8,0,7608,0.426756
SA_WaitingTime_Dominance_PC60,203,0.250741,0.056907,0.391851,0.006252,7,7,0,7130,0.423250
SA_WaitingTime_Dominance_PC60,204,0.233715,0.038158,0.396865,0.002728,12,12,1,6978,0.429584
SA_WaitingTime_Dominance_PC60,205,0.333098,0.080295,0.362232,0.005939,31,32,0,7281,0.421801
SA_WaitingTime_Dominance_PC60,206,0.230063,0.026345,0.397867,0.001870,7,7,0,7035,0.427172
SA_WaitingTime_Dominance_PC60,207,0.278998,0.052167,0.380761,0.001625,9,9,0,7071,0.425911
SA_WaitingTime_Dominance_PC60,208,0.270610,0.061276,0.384640,0.017523,13,13,0,7158,0.423301
