Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,Makespan_Best,Energy_Best,ScoredSeeds
1,Balanced,AMOSA,203,0.178822,0.005878,0.553267,0.000810,4,0,5479,17.917857,0.058488784,
1,Balanced,AMOSA,204,0.231100,0.114259,0.420339,0.010195,8,0,5925,17.985714,0.057452490,
1,Balanced,AMOSA,205,0.162453,0.014822,0.556569,0.013170,5,0,5771,17.985714,0.058694488,
1,Balanced,AMOSA,206,0.152658,0.023888,0.553756,0.004347,10,0,5569,17.985714,0.058813796,
1,Balanced,AMOSA,207,0.121445,0.033647,0.574363,0.004212,7,0,5521,17.985714,0.059214785,
1,Balanced,AMOSA,208,0.159990,0.016929,0.560411,0.005777,4,0,5743,17.985714,0.058727813,
1,Balanced,AMOSA,209,0.188481,0.056207,0.503114,0.010979,13,0,5791,17.985714,0.058296932,
1,Balanced,AMOSA,MEAN,0.167180,0.035252,0.534600,0.007481,,0,5671,17.917857,0.057452490,10
2,GPU_Stress,GA_Makespan_Dominance,200,0.003274,0.010105,0.524564,0.001594,3,0,3712,24.745000,0.080209146,
2,GPU_Stress,GA_Makespan_Dominance,201,0.013894,0.008355,0.508965,0.000180,4,0,3907,25.000000,0.079901780,
2,GPU_Stress,GA_Makespan_Dominance,202,0.030412,0.000000,0.494611,0.002820,4,4,4175,24.875000,0.079666803,
2,GPU_Stress,GA_Makespan_Dominance,203,0.009935,0.002988,0.513021,0.001224,4,0,3846,25.000000,0.079958081,
2,GPU_Stress,GA_Makespan_Dominance,204,0.001820,0.003103,0.521545,0.000000,2,0,4196,24.745000,0.080101677,
2,GPU_Stress,GA_Makespan_Dominance,205,0.002207,0.012437,0.526893,0.000125,4,0,4011,24.857143,0.080255243,
2,GPU_Stress,GA_Makespan_Dominance,206,0.001491,0.003517,0.521867,0.000650,4,0,4121,25.000000,0.080113219,
2,GPU_Stress,GA_Makespan_Dominance,207,0.002589,0.021730,0.530105,0.000552,4,0,4138,24.745000,0.080386193,
2,GPU_Stress,GA_Makespan_Dominance,208,0.002475,0.002036,0.519911,0.001626,3,1,4095,24.745000,0.080064374,
2,GPU_Stress,GA_Makespan_Dominance,209,0.005122,0.000000,0.518392,0.000000,1,1,4172,24.857143,0.080026795,
2,GPU_Stress,GA_Makespan_Dominance,MEAN,0.007322,0.006427,0.517987,0.000877,,6,4037,24.745000,0.079666803,10
2,GPU_Stress,GA_Energy_Dominance,200,0.472240,0.215523,0.218676,0.020787,36,0,4387,27.000000,0.069985600,
2,GPU_Stress,GA_Energy_Dominance,201,0.570450,0.137765,0.181015,0.017823,38,2,4363,27.000000,0.068242119,
2,GPU_Stress,GA_Energy_Dominance,202,0.385507,0.253804,0.263734,0.037104,48,5,4728,27.000000,0.066923297,
2,GPU_Stress,GA_Energy_Dominance,203,0.304541,0.282552,0.283028,0.044670,47,3,4673,27.000000,0.065879553,
2,GPU_Stress,GA_Energy_Dominance,204,0.535570,0.170434,0.206086,0.036477,34,4,4854,27.000000,0.068505446,
2,GPU_Stress,GA_Energy_Dominance,205,0.401779,0.009082,0.223521,0.005297,32,17,4084,27.000000,0.074277708,
2,GPU_Stress,GA_Energy_Dominance,206,0.477212,0.219601,0.230434,0.026599,40,3,4443,27.000000,0.067714799,
2,GPU_Stress,GA_Energy_Dominance,207,0.544796,0.103356,0.169941,0.008711,45,1,4688,27.000000,0.070375942,
2,GPU_Stress,GA_Energy_Dominance,208,0.545991,0.030437,0.144962,0.004535,57,21,4211,27.000000,0.071572762,
2,GPU_Stress,GA_Energy_Dominance,209,0.487787,0.205543,0.220218,0.030606,39,0,4382,27.000000,0.069231493,
2,GPU_Stress,GA_Energy_Dominance,MEAN,0.472587,0.162810,0.214162,0.023261,,56,4481,27.000000,0.065879553,10
2,GPU_Stress,SA_Makespan_Dominance,200,0.440561,0.095975,0.257314,0.000939,4,0,2657,26.328571,0.075128832,
2,GPU_Stress,SA_Makespan_Dominance,201,0.514815,0.034265,0.232889,0.244532,5,4,2490,26.328571,0.073675144,
2,GPU_Stress,SA_Makespan_Dominance,202,0.492905,0.067305,0.244476,0.355861,3,0,2420,26.456667,0.073782007,
2,GPU_Stress,SA_Makespan_Dominance,203,0.477895,0.088541,0.247831,0.001904,4,0,2488,26.328571,0.074291027,
2,GPU_Stress,SA_Makespan_Dominance,204,0.431792,0.095952,0.259094,0.000967,4,0,2473,26.328571,0.075276779,
2,GPU_Stress,SA_Makespan_Dominance,205,0.448798,0.068839,0.255236,0.291882,3,0,2417,26.456667,0.074937130,
2,GPU_Stress,SA_Makespan_Dominance,206,0.440155,0.081725,0.252445,0.303627,3,0,2534,26.456667,0.074962995,
2,GPU_Stress,SA_Makespan_Dominance,207,0.445433,0.072136,0.261001,0.002096,5,0,2335,26.328571,0.075203997,
2,GPU_Stress,SA_Makespan_Dominance,208,0.426184,0.112317,0.252831,0.001812,4,0,2459,26.328571,0.075068404,
2,GPU_Stress,SA_Makespan_Dominance,209,0.410181,0.077726,0.266858,0.001752,5,0,2253,26.328571,0.075752746,
2,GPU_Stress,SA_Makespan_Dominance,MEAN,0.452872,0.079478,0.252998,0.120537,,4,2452,26.328571,0.073675144,10
2,GPU_Stress,SA_Energy_Dominance,200,0.483794,0.174923,0.210211,0.051749,32,0,2667,27.000000,0.069719050,
2,GPU_Stress,SA_Energy_Dominance,201,0.497015,0.157324,0.198223,0.074777,22,0,2727,27.000000,0.070574966,
2,GPU_Stress,SA_Energy_Dominance,202,0.514034,0.154595,0.198180,0.064931,20,0,2731,27.000000,0.070596035,
2,GPU_Stress,SA_Energy_Dominance,203,0.544909,0.157255,0.197338,0.049075,32,3,2769,27.000000,0.068999344,
2,GPU_Stress,SA_Energy_Dominance,204,0.560685,0.065367,0.171922,0.038753,26,6,2627,27.000000,0.070546946,
2,GPU_Stress,SA_Energy_Dominance,205,0.508810,0.151488,0.199427,0.060623,25,2,2840,27.000000,0.070253736,
2,GPU_Stress,SA_Energy_Dominance,206,0.403532,0.250949,0.239940,0.068361,27,0,2780,27.000000,0.071217042,
2,GPU_Stress,SA_Energy_Dominance,207,0.355854,0.357225,0.266381,0.094742,24,0,2919,27.000000,0.069957183,
2,GPU_Stress,SA_Energy_Dominance,208,0.481465,0.171511,0.205625,0.063154,30,0,2587,27.000000,0.070513600,
2,GPU_Stress,SA_Energy_Dominance,209,0.418699,0.288743,0.234955,0.065549,25,0,2869,27.000000,0.071013454,
2,GPU_Stress,SA_Energy_Dominance,MEAN,0.476880,0.192938,0.212220,0.063171,,11,2751,27.000000,0.068999344,10
2,GPU_Stress,NSGA-II,200,0.456208,0.107384,0.189861,0.043007,32,0,7389,25.985714,0.074657625,
2,GPU_Stress,NSGA-II,201,0.519620,0.062164,0.164381,0.038994,38,0,7146,26.300000,0.073465695,
2,GPU_Stress,NSGA-II,202,0.484590,0.059034,0.180037,0.054045,26,0,7209,26.456667,0.074347137,
2,GPU_Stress,NSGA-II,203,0.494046,0.068597,0.167139,0.041044,29,0,7276,26.328571,0.073908564,
2,GPU_Stress,NSGA-II,204,0.418679,0.058990,0.231248,0.058965,22,0,6664,26.328571,0.075539043,
2,GPU_Stress,NSGA-II,205,0.531672,0.099299,0.143932,0.009657,38,0,7523,25.545000,0.072901121,
2,GPU_Stress,NSGA-II,206,0.500869,0.063254,0.172946,0.041657,34,0,6904,26.328571,0.073893984,
2,GPU_Stress,NSGA-II,207,0.532165,0.078077,0.153434,0.038763,34,0,7457,26.456667,0.073107156,
2,GPU_Stress,NSGA-II,208,0.370406,0.023159,0.270890,0.002653,29,13,6633,25.000000,0.076156808,
2,GPU_Stress,NSGA-II,209,0.577261,0.122056,0.133940,0.038848,38,0,7546,26.328571,0.071253894,
2,GPU_Stress,NSGA-II,MEAN,0.488552,0.074201,0.180781,0.036764,,13,7174,25.000000,0.071253894,10
2,GPU_Stress,SPEA-II,200,0.404219,0.045926,0.226680,0.003731,26,0,8151,25.000000,0.075278441,
2,GPU_Stress,SPEA-II,201,0.408923,0.110396,0.224353,0.005354,32,0,7777,25.200000,0.075296576,
2,GPU_Stress,SPEA-II,202,0.350563,0.059868,0.266708,0.006507,22,0,8172,25.000000,0.076108730,
2,GPU_Stress,SPEA-II,203,0.221480,0.037842,0.359803,0.002295,13,0,7834,25.000000,0.077768285,
2,GPU_Stress,SPEA-II,204,0.451003,0.063718,0.199171,0.008898,29,0,8046,25.456667,0.074647040,
2,GPU_Stress,SPEA-II,205,0.358948,0.062203,0.257051,0.007254,21,0,8043,25.000000,0.075979491,
2,GPU_Stress,SPEA-II,206,0.253045,0.020684,0.333820,0.005674,11,0,7544,25.000000,0.077308399,
2,GPU_Stress,SPEA-II,207,0.295342,0.029570,0.311670,0.001938,14,7,7750,25.000000,0.076884204,
2,GPU_Stress,SPEA-II,208,0.430445,0.085361,0.206313,0.003880,26,0,8107,25.405000,0.074706974,
2,GPU_Stress,SPEA-II,209,0.428934,0.088800,0.210369,0.003698,27,0,7827,25.405000,0.074823592,
2,GPU_Stress,SPEA-II,MEAN,0.360290,0.060437,0.259594,0.004923,,7,7925,25.000000,0.074647040,10
2,GPU_Stress,AMOSA,200,0.267916,0.062743,0.336357,0.005253,9,1,6100,25.545000,0.077363075,
2,GPU_Stress,AMOSA,201,0.294387,0.046536,0.327646,0.002785,14,0,5930,25.300000,0.077378733,
2,GPU_Stress,AMOSA,202,0.258812,0.061845,0.348876,0.004582,9,1,6098,25.507143,0.077670454,
2,GPU_Stress,AMOSA,203,0.273995,0.043743,0.338985,0.002714,11,0,6164,25.680000,0.077602661,
2,GPU_Stress,AMOSA,204,0.311016,0.110004,0.280727,0.009248,13,0,6142,25.680000,0.076390303,
2,GPU_Stress,AMOSA,205,0.293993,0.035736,0.314126,0.004955,12,0,6282,25.555000,0.077096946,
2,GPU_Stress,AMOSA,206,0.259181,0.024239,0.324655,0.003866,9,0,6267,25.710000,0.077141982,
2,GPU_Stress,AMOSA,207,0.278426,0.042281,0.323862,0.003755,9,0,6322,25.325000,0.077248274,
2,GPU_Stress,AMOSA,208,0.271540,0.061550,0.346876,0.005524,9,0,6409,25.710000,0.077752399,
2,GPU_Stress,AMOSA,209,0.294321,0.035712,0.319876,0.009901,10,0,6343,25.745000,0.077203673,
2,GPU_Stress,AMOSA,MEAN,0.280359,0.052439,0.326199,0.005258,,2,6205,25.300000,0.076390303,10
3,CPU_Stress,GA_Makespan_Dominance,200,0.044716,0.001067,0.612723,0.000000,1,0,3566,11.745000,0.042151463,
3,CPU_Stress,GA_Makespan_Dominance,201,0.023763,0.006887,0.630191,0.000000,1,0,3553,11.220000,0.042416263,
3,CPU_Stress,GA_Makespan_Dominance,202,0.045777,0.000000,0.611910,0.000000,1,1,3553,11.745000,0.042138094,
3,CPU_Stress,GA_Makespan_Dominance,203,0.036961,0.006344,0.618096,0.000000,2,0,3567,11.745000,0.042249140,
3,CPU_Stress,GA_Makespan_Dominance,204,0.067223,0.015055,0.594313,0.000000,1,0,3599,12.580000,0.041864229,
3,CPU_Stress,GA_Makespan_Dominance,205,0.036923,0.006948,0.618703,0.000000,1,0,3549,11.745000,0.042249642,
3,CPU_Stress,GA_Makespan_Dominance,206,0.000000,0.000000,0.650675,0.000000,1,1,3410,10.745000,0.042714853,
3,CPU_Stress,GA_Makespan_Dominance,207,0.083353,0.001636,0.581643,0.000000,2,1,3399,12.405000,0.041661026,
3,CPU_Stress,GA_Makespan_Dominance,208,0.030633,0.000000,0.624689,0.000000,1,1,3361,11.220000,0.042329937,
3,CPU_Stress,GA_Makespan_Dominance,209,0.011249,0.000000,0.640870,0.000000,1,1,3422,10.925000,0.042573720,
3,CPU_Stress,GA_Makespan_Dominance,MEAN,0.038060,0.003794,0.618381,0.000000,,5,3497,10.745000,0.041661026,10
3,CPU_Stress,GA_Energy_Dominance,200,0.401025,0.173962,0.193884,0.047943,43,2,4552,17.000000,0.031009498,
3,CPU_Stress,GA_Energy_Dominance,201,0.329497,0.199273,0.226785,0.052086,35,0,4480,17.000000,0.031172571,
3,CPU_Stress,GA_Energy_Dominance,202,0.394891,0.142650,0.189308,0.053640,41,2,4661,17.000000,0.031379803,
3,CPU_Stress,GA_Energy_Dominance,203,0.365980,0.181509,0.218030,0.037802,42,0,4850,17.000000,0.030287757,
3,CPU_Stress,GA_Energy_Dominance,204,0.338617,0.193504,0.226592,0.038340,37,1,4718,17.000000,0.030213082,
3,CPU_Stress,GA_Energy_Dominance,205,0.247393,0.238742,0.273130,0.041093,48,1,4703,17.000000,0.030180059,
3,CPU_Stress,GA_Energy_Dominance,206,0.374453,0.190980,0.204512,0.025696,52,2,4497,17.000000,0.030643987,
3,CPU_Stress,GA_Energy_Dominance,207,0.364071,0.188699,0.205860,0.035752,46,0,4078,17.000000,0.031524300,
3,CPU_Stress,GA_Energy_Dominance,208,0.342124,0.219489,0.220296,0.038895,42,0,4539,17.000000,0.031044942,
3,CPU_Stress,GA_Energy_Dominance,209,0.425780,0.135907,0.180034,0.037908,46,17,4520,17.000000,0.031662535,
3,CPU_Stress,GA_Energy_Dominance,MEAN,0.358383,0.186471,0.213843,0.040915,,25,4559,17.000000,0.030180059,10
3,CPU_Stress,SA_Makespan_Dominance,200,0.433295,0.042755,0.383014,0.314565,3,2,1886,12.460000,0.037748438,
3,CPU_Stress,SA_Makespan_Dominance,201,0.360972,0.026121,0.420359,0.170631,5,4,1962,14.386667,0.039193962,
3,CPU_Stress,SA_Makespan_Dominance,202,0.406718,0.064133,0.394422,0.000000,2,1,1849,12.460000,0.038316831,
