Algorithm,Makespan,Energy
AMOSA,12.830000,0.044350510
AMOSA,13.745000,0.044338838
AMOSA,14.460000,0.044264245
AMOSA,15.460000,0.044206779
AMOSA,16.500000,0.044087435
AMOSA,16.545000,0.043482104
AMOSA,16.555000,0.043248023
AMOSA,16.917857,0.043166316
AMOSA,16.925000,0.043068658
AMOSA,17.000000,0.042998915
AMOSA,17.545000,0.042956053
AMOSA,18.580000,0.042926454
AMOSA,50.320000,0.042303967
AMOSA,59.700000,0.042163250
AMOSA,61.680000,0.041944764
AMOSA,68.300000,0.041807028
AMOSA,68.840000,0.041738466
AMOSA,76.320000,0.041688902
AMOSA,76.980000,0.041499683
AMOSA,83.620000,0.041191574
AMOSA,86.680000,0.041172201
AMOSA,89.320000,0.040856656
